t,step,run_id,sat_id,station_id,active,beam,channel,elev_deg,az_deg,range_km,scan_deg,snr_db,sinr_db,inr_db,ber,rain_fade_db,alloc_bw_hz,alloc_power_w,rate_bps,clean_rate_bps,bits_delivered,slewing,session_age_s
100.0,10,52bb211583b2,SAT-207,Delhi,False,,,49.534652286515765,58.5077855718273,765.3556201587431,40.465347713484235,18.260857969523798,18.260857969523798,-300.0,1.3563681733298913e-16,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
100.0,10,52bb211583b2,SAT-208,Delhi,False,,,37.460537144859444,53.22346571882522,923.0143358720824,52.539462855140556,15.271265376746811,15.271265376746811,-300.0,3.280204728769775e-09,0.0,50000000.0,5,0.0,255761991.84222052,0.0,False,0.0
100.0,10,52bb211583b2,SAT-300,Guwahati,False,,,58.05003655640513,244.89777271125703,695.6579523596549,31.949963443594868,17.15774028984113,17.15774028984113,-300.0,2.814097765230443e-13,0.5,50000000.0,5,0.0,275000000.0,0.0,False,0.0
100.0,10,52bb211583b2,SAT-301,Guwahati,True,0,0,74.17408456003201,277.5236180593161,621.4972080224901,15.825915439967986,16.8686313486467,13.845568458378597,0.02548846975413767,4.249390130456596e-07,0.5,50000000.0,3.090909090909091,232885865.38544506,275000000.0,2328858653.8544507,False,100.0
100.0,10,52bb211583b2,SAT-302,Guwahati,True,1,0,71.43496877938173,359.2850794710132,629.8924742800517,18.565031220618266,16.65614616806576,12.969346584253639,1.2616854336364263,4.271581758516304e-06,0.5,50000000.0,3.090909090909091,218968187.67907637,275000000.0,2189681876.790764,False,100.0
100.0,10,52bb211583b2,SAT-304,Guwahati,True,3,0,41.426519056381565,30.55399907754647,861.4835496025853,48.573480943618435,16.64046259373781,11.329331096710371,3.7969298034870658,0.00011424065162457247,0.5,50000000.0,10,193301098.54135084,229453224.10739592,1933010985.4135084,False,100.0
100.0,10,52bb211583b2,SAT-305,Guwahati,True,2,0,31.604600107531247,33.932520010629695,1037.6014311812512,58.39539989246875,13.390960654413036,6.135487740261857,6.350350241847069,0.021350152206754625,0.5,50000000.0,10,117627018.23163031,178741793.08234468,1176270182.316303,False,50.0
110.0,11,52bb211583b2,SAT-001,Delhi,False,,,81.50405870692883,174.4545148558256,606.0757804692802,8.49594129307117,21.859774618903614,21.859774618903614,-300.0,1.5243364767524392e-35,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
110.0,11,52bb211583b2,SAT-001,Ahmedabad-SAC,False,,,35.38189541761186,40.27509244460949,960.0858609499304,54.61810458238814,9.445539656911393,9.445539656911393,-300.0,0.0015049605159869128,3.0,50000000.0,5,0.0,164649720.82466793,0.0,False,0.0
110.0,11,52bb211583b2,SAT-002,Delhi,True,0,0,71.8587819887564,62.874686971921584,628.4939963404806,18.141218011243595,17.794400447296567,14.114785456630614,1.2491198535620094,1.9016855324187103e-07,0.0,50000000.0,2.2272727272727275,237185483.55595136,275000000.0,2371854835.5595136,False,110.0
