world,regime,policy,delivered_gbit,completion_rate,weighted_met,n_met,n_partial,n_rejected,fairness,wall_s,n_quotes,optimal
3,C-severe,oracle/throughput,1052.7974017504828,0.0,0.0,0,13,0,0.9298046245697599,0.003691000019898638,0,True
3,C-severe,oracle/priority,1052.7974017504828,0.0,0.0,0,13,0,0.9260629528809456,0.014417300000786781,0,True
4,0-trivial,fcfs,286.8985010373409,1.0,1.0,14,0,0,1.0,0.001374299987219274,14,
4,0-trivial,edf,286.8985010373409,1.0,1.0,14,0,0,1.0,0.0013515999889932573,14,
4,0-trivial,tier-deadline,286.89850103734085,1.0,1.0,14,0,0,1.0,0.0014649000077042729,14,
4,0-trivial,deadline-tier,286.8985010373409,1.0,1.0,14,0,0,1.0,0.0023791999847162515,14,
4,0-trivial,density,286.89850103734085,1.0,1.0,14,0,0,1.0,0.0016811999958008528,14,
4,0-trivial,slack,286.89850103734085,1.0,1.0,14,0,0,1.0,0.015464099997188896,105,
4,0-trivial,oppcost,286.8985010373409,1.0,1.0,14,0,0,1.0,0.02923230000305921,210,
4,0-trivial,ratio,286.8985010373409,1.0,1.0,14,0,0,1.0,0.033069999975850806,105,
4,0-trivial,w_avail,286.8985010373409,1.0,1.0,14,0,0,1.0,0.02879209999809973,105,
4,0-trivial,oracle/throughput,286.8985010373409,1.0,1.0,14,0,0,1.0,0.001947999990079552,0,True
4,0-trivial,oracle/priority,286.8985010373409,1.0,1.0,14,0,0,1.0,0.0016084000235423446,0,True
4,A-slack,fcfs,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0011626000050455332,10,
4,A-slack,edf,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0010836999863386154,10,
4,A-slack,tier-deadline,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0017790999845601618,10,
4,A-slack,deadline-tier,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0011413000174798071,10,
4,A-slack,density,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.001148499984992668,10,
4,A-slack,slack,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.011296899989247322,55,
4,A-slack,oppcost,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.015424200013512745,100,
4,A-slack,ratio,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.01606779999565333,55,
4,A-slack,w_avail,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.015771300008054823,55,
4,A-slack,oracle/throughput,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0020065999997314066,0,True
4,A-slack,oracle/priority,500.6338117320354,0.9,0.8571428571428571,9,1,0,0.991911504720737,0.0019296999962534755,0,True
4,B-real,fcfs,706.0516230844798,0.4,0.38095238095238093,4,6,0,0.956003737993893,0.0024409999896306545,10,
4,B-real,edf,702.2292797775187,0.4,0.38095238095238093,4,6,0,0.9545185173319543,0.0011658000003080815,10,
4,B-real,tier-deadline,702.2292797775187,0.4,0.38095238095238093,4,6,0,0.9545185173319543,0.0023130000045057386,10,
4,B-real,deadline-tier,702.2292797775187,0.4,0.38095238095238093,4,6,0,0.9545185173319543,0.0022738999978173524,10,
4,B-real,density,702.2292797775186,0.4,0.38095238095238093,4,6,0,0.9545185173319543,0.0025665999855846167,10,
